FACILITY_DESCRIPTION,ASSET_ADDR,ASSET_ZIP,ASSET_ID,BLDG_FLOOR_AREA,YEAR_BUILT,PROPERTY_TYPE,SECTOR,NUMBER_OF_BUILDINGS,ENERGY_STAR_SCORE,SITE_EUI,WEATHER_NORMALIZED_SITE_EUI,SOURCE _EUI,WEATHER_NORMALIZED_SOURCE_EUI,PERCENT_BETTER,TOTAL_GHG_EMISSIONS,ELECTRIC_USE,GAS_USE,STEAM_USE,OIL_USE
Curran-Fromhold Correctional Facility,7901 State Road,22031,395,436250,1995,Prison/Incarceration,Correctional Facilities,1,N/A,277.8,278.1,536.8,531.6,216,10800.9,14993930,700232.5,N/A,0.0
Holmesburg Complex,8215 Torresdale Avenue,19136,64,716651,1896,Prison/Incarceration,Correctional Facilities,3,N/A,13.7,14.4,23.6,24.4,-80.8,757.5,929333,65236.9,N/A,129784.9
House of Correction Complex,8003 State Road,19136,397,830754,1927,Prison/Incarceration,Correctional Facilities,5,N/A,138,145.5,204,211.8,65.7,7812.1,6879149,911908.0,N/A,N/A
Philadelphia Detention Center,8201 State Road,19136,394,108960,1963,Prison/Incarceration,Correctional Facilities,1,N/A,388.6,409,596.5,617.9,251,3028.4,2895454,298664.8,N/A,2590732.2
Philadelphia Industrial Correction Center,8203 State Road,19136,393,200000,1979,Prison/Incarceration,Correctional Facilities,1,N/A,220.6,227,384.9,391.6,126.5,3420.6,4297814,294624.8,N/A,N/A
Riverside Correctional Facility,8001 State Road,19136,398,220000,2004,Prison/Incarceration,Correctional Facilities,1,N/A,166.4,170.8,356.2,360.8,109.6,3348.0,5596778,175171.2,N/A,N/A
Fire Employee Assistance Program,611 N. 2nd Street,19123,1258,7035,1964,Fire Station,Fire Stations,1,N/A,81.8,85.9,133.1,138.4,8.1,42.2,46594,4163.4,N/A,N/A
Fire Engine 1,711 S. Broad Street,19146,358,8100,1964,Fire Station,Fire Stations,1,N/A,122.1,126.7,213.2,215,73.2,76.8,96640,6589.5,N/A,N/A
Fire Engine 10,1357 S. 12th Street,19147,22,7035,1963,Fire Station,Fire Stations,1,N/A,126.1,132.5,215,218.9,74.7,67.5,81556,6085.8,N/A,N/A
Fire Engine 11,605 SOUTH ST,19147,112,6232,1976,Fire Station,Fire Stations,1,N/A,52.7,52.9,149.4,148.7,21.4,38.0,82193,479.0,N/A,N/A
Fire Engine 12,4445 Main Street,19127,665,12735,1927,Fire Station,Fire Stations,1,N/A,63.3,66.6,100.8,103.3,-18.1,58.1,61329,5962.4,N/A,N/A
Fire Engine 13,1541 Parrish Street,19130,344,4611,1952,Fire Station,Fire Stations,1,N/A,254.4,266.8,362.1,371.9,194.1,77.6,61427,9632.4,N/A,N/A
Fire Engine 14,1658 Foulkrod Street,19124,108,4611,1927,Fire Station,Fire Stations,1,N/A,216.9,229.4,347.1,355.8,182.1,72.4,77129,7370.8,N/A,N/A
Fire Engine 16,1517 Belmont Avenue,19104,189,7004,1969,Fire Station,Fire Stations,1,N/A,114.3,119.8,190.9,194.6,55.1,60.0,69599,5633.4,N/A,N/A
Fire Engine 18,8205 E. Roosevelt Blvd.,19152,237,6192,1984,Fire Station,Fire Stations,1,N/A,109.1,114.5,180.3,184.1,46.4,50.1,57030,4811.0,N/A,N/A
Fire Engine 19,300 E. Chelten Avenue,19144,715,9905,1957,Fire Station,Fire Stations,1,N/A,106.2,111.6,176.3,180,43.1,78.5,89939,7453.0,N/A,N/A
Fire Engine 2,2420 N. 2nd Street,19133,778,9659,1977,Fire Station,Fire Stations,1,N/A,157.6,167.1,246.6,254.5,100.3,108.4,109923,11472.5,N/A,N/A
Fire Engine 20,133 N. 10th Street,19107,378,7035,1956,Fire Station,Fire Stations,1,N/A,96.2,99.5,177.9,179,44.4,54.9,75781,4184.0,N/A,N/A
Fire Engine 22,11700 Academy Road,19154,1258,7100,1964,Fire Station,Fire Stations,1,N/A,103.5,104.5,193.9,192.6,57.5,60.3,84887,4451.2,N/A,N/A
Fire Engine 25,2437 Boudinot Street,19134,925,6322,1967,Fire Station,Fire Stations,1,N/A,111.1,115.4,190.2,191.7,54.5,53.7,65159,4800.8,N/A,N/A
Fire Engine 27,1900 Oxford Sreet,19121,1182,6526,1951,Fire Station,Fire Stations,1,N/A,140.2,146,238.8,243.4,93.9,69.6,83800,6291.4,N/A,N/A
Fire Engine 28,2520 E. Ontario Street,19134,1199,6786,1977,Fire Station,Fire Stations,1,N/A,124.5,130,219.3,222.5,78.1,66.0,84329,5571.8,N/A,N/A
Fire Engine 29,400 W. Girard Avenue,19123,528,6850,1972,Fire Station,Fire Stations,1,N/A,119.3,122.7,245.5,245.4,99.5,72.4,115461,4235.4,N/A,N/A
Fire Engine 3,200 Washington Avenue,19147,160,5540,1960,Fire Station,Fire Stations,1,N/A,136.2,140.7,215.9,217.2,75.3,54.3,56629,5612.9,N/A,N/A
Fire Engine 33,4750 Richmond Street,19137,692,5100,1964,Fire Station,Fire Stations,1,N/A,120.5,125.8,196.3,198.8,59.4,45.2,49914,4441.0,N/A,N/A
Fire Engine 34,2741 W. Thompson Street,19121,822,8896,1975,Fire Station,Fire Stations,1,N/A,98.3,103.3,157,160.9,27.5,63.3,67112,6455.8,N/A,N/A
Fire Engine 35,4208 Ridge Avenue,19129,773,8586,1958,Fire Station,Fire Stations,1,N/A,128.8,133.9,221.7,224.8,80.1,84.8,104123,7504.4,N/A,N/A
Fire Engine 36,7818 Frankford Avenue,19136,211,7688,1972,Fire Station,Fire Stations,1,N/A,119.7,125.5,220.8,225,79.5,74.6,102556,5705.4,N/A,N/A
Fire Engine 37,103 W. Highland Avenue,19118,1177,9300,1894,Fire Station,Fire Stations,1,N/A,84.1,90,119.8,126,-2.7,51.8,41040,6425.0,N/A,N/A
Fire Engine 43,2110 Market Street,19103,178,13086,1963,Fire Station,Fire Stations,1,N/A,64,65.1,132.3,129.8,7.4,74.5,119386,4307.3,N/A,N/A
Fire Engine 44,3420 Haverford Avenue,19104,465,7011,1908,Fire Station,Fire Stations,1,N/A,97.5,103,154.3,160.1,25.3,49.1,51119,5088.6,N/A,N/A
Fire Engine 45,2535 W. York Street,19132,1125,7156,1962,Fire Station,Fire Stations,1,N/A,120.1,125,204.7,206.7,66.3,65.4,78920,5900.7,N/A,N/A
Fire Engine 46,4000 Linden Street,19114,491,6100,1966,Fire Station,Fire Stations,1,N/A,108.1,111,219.7,219.4,78.4,57.8,90846,3495.2,N/A,N/A
Fire Engine 47,3095 Grays Ferry,19146,264,8050,1974,Fire Station,Fire Stations,1,N/A,115.5,118.4,220.5,221.2,79.1,77.5,111977,5479.2,N/A,N/A
Fire Engine 49,2600 S. 13th Street,19148,31,8000,1956,Fire Station,Fire Stations,1,N/A,102,107,166.7,170.5,35.5,60.1,66835,5880.2,N/A,N/A
Fire Engine 5,4299 Market Street,19104,149,18578,1960,Fire Station,Fire Stations,1,N/A,59.3,61.9,106,107,-28.4,87.1,113885,7134.3,N/A,N/A
Fire Engine 50,2900 Park Avenue,19132,1166,13201,1901,Fire Station,Fire Stations,1,N/A,77.2,80.1,145.7,146.9,18.4,84.1,119721,6106.3,N/A,N/A
Fire Engine 52,4501 Vankirk Street,19135,89,14102,1951,Fire Station,Fire Stations,1,N/A,32.3,33.7,60.1,61,-51.2,37.1,51638,2796.2,N/A,N/A
Fire Engine 53,2100 S. 4th Street,19148,87,5800,1987,Fire Station,Fire Stations,1,N/A,127.4,134.4,224.2,230.2,82,57.7,73528,4883.0,N/A,N/A
Fire Engine 54,6301 Lancaster Avenue,19151,138,7600,1948,Fire Station,Fire Stations,1,N/A,94.5,98.4,158.4,161,28.6,53.9,63066,5026.9,N/A,N/A
Fire Engine 55 and Warehouse,4000 N. Front St.,19140,1114,16456,1962,Non-Refrigerated Warehouse,Fire Stations,1,N/A,147.6,152.8,290.5,294.2,383.9,207.3,312551,13631.3,N/A,N/A
Fire Engine 56,830 Rhawn Street,19111,172,10144,1948,Fire Station,Fire Stations,1,N/A,68.8,73.2,109.1,113.7,-11.3,50.3,52450,5191.4,N/A,N/A
Fire Engine 57,5557 Chestnut Street,19139,167,6800,1975,Fire Station,Fire Stations,1,N/A,99,103.4,182.3,184.5,48,54.5,74678,4184.0,N/A,N/A
Fire Engine 58,812 Hendrix Street,19116,341,5450,1985,Fire Station,Fire Stations,1,N/A,114.9,117,187.8,189.3,52.6,46.2,51309,4512.9,N/A,N/A
Fire Engine 6,2601 Belgrade Street,19125,1192,11567,1912,Fire Station,Fire Stations,1,N/A,92.9,96.9,158.9,161.1,29,82.1,99659,7339.9,N/A,N/A
Fire Engine 61,5332 E. Rising Sun Avenue,19120,768,4462,1951,Fire Station,Fire Stations,1,N/A,146.1,154.1,234.9,240.9,90.7,47.4,50982,4780.2,N/A,N/A
Fire Engine 63,1212 Oak Lane,19126,695,6900,1950,Fire Station,Fire Stations,1,N/A,121.9,129.3,180.8,187.1,46.9,57.5,51079,6671.7,N/A,N/A
Fire Engine 64,6100 E. Rising Sun Avenue,19111,1083,24092,1924,Office,Fire Stations,1,97,40.3,42.6,60.5,62.2,-60.1,66.9,61373,7617.5,N/A,N/A
Fire Engine 66,7718 Ridge Avenue,19128,1187,4000,1950,Fire Station,Fire Stations,1,N/A,130.2,137.4,201.4,207.6,63.6,36.8,36296,3968.1,N/A,N/A
Fire Engine 68,783 S. 52nd Street,19143,411,8723,1984,Fire Station,Fire Stations,1,N/A,106.8,112.4,190.4,194.3,54.6,73.5,95758,6044.6,N/A,N/A
Fire Engine 69,8201 Tinicum Avenue,19153,45,9262,1929,Fire Station,Fire Stations,1,N/A,81.9,86.9,151.4,156.7,23,61.6,84909,4687.7,N/A,N/A
Fire Engine 7,3780 Kensington Street,19124,589,10000,1955,Fire Station,Fire Stations,1,N/A,105.8,108.7,214.8,214.9,74.6,92.7,145514,5612.9,N/A,N/A
Fire Engine 70,5300 Langdon Street,19124,258,9626,1930,Fire Station,Fire Stations,1,N/A,111.9,118.3,162.2,167.2,31.8,72.3,60372,8707.2,N/A,N/A
Fire Engine 71,1900 Cottman Street,19111,11,16550,1930,Fire Station,Fire Stations,1,N/A,91,95.3,140.9,143.7,14.5,106.3,105393,11462.2,N/A,N/A
Fire Engine 72,1127 Louden Street,19141,889,11940,1932,Fire Station,Fire Stations,1,N/A,110.5,116.7,169.5,174.9,37.6,92.5,89481,10146.4,N/A,N/A
Fire Engine 73,7559 Ogontz Avenue,19105,719,8500,1948,Fire Station,Fire Stations,1,N/A,110.5,118,160.6,168.5,30.5,63.2,53177,7576.4,N/A,N/A
Fire Engine 8,101 N. 4th Street B,19106,472,8239,1968,Fire Station,Fire Stations,1,N/A,157.5,165.1,267,272.2,116.9,98.4,117489,8964.2,N/A,N/A
Fire Engine 9,6900 Germantown Avenue,19119,792,7332,1930,Fire Station,Fire Stations,1,N/A,171.1,182.8,268.5,280.8,118,89.5,91332,9426.8,N/A,N/A
Employees Health Center,700 N 19th Street,19130,41,9720,1970,Medical Office,Health Centers,1,5,161.6,167.3,334.2,337,69.9,139.7,224200,8059.5,N/A,N/A
Health Center 2 ,1400 Morris Street,19145,961,21175,1962,Medical Office,Health Centers,1,6,186,189.4,420.8,418,73,377.1,669510,16550.8,N/A,N/A
Health Center 3,4300 Chester Avenue,19104,58,26750,1959,Medical Office,Health Centers,1,37,127.7,131.8,252.1,251.5,13.8,292.5,442777,19059.1,N/A,N/A
Health Center 4,4400 Haverford Avenue,19104,986,22030,1960,Medical Office,Health Centers,1,21,140.5,143.6,310,308.8,28.2,290.2,502011,13816.3,N/A,N/A
Health Center 5,1900 N. 20th Street,19121,785,67280,1960,Medical Office,Health Centers,1,77,68,69.9,148.9,149.6,-37.6,426.5,731941,20755.3,N/A,N/A
Health Center 6,301 West Girard Avenue,19123,645,21000,1973,Medical Office,Health Centers,1,43,79.9,79.7,250.8,250.1,7.7,212.4,491663,N/A,N/A,N/A
Health Center 9,131 E. Chelten Avenue,19144,1137,14524,1958,Medical Office,Health Centers,1,12,173.2,180.3,334.2,339.6,43.4,211.4,310326,14566.8,N/A,N/A
Health Center Strawberry Mansion,2800 Dauphin Street,19132,849,15865,1984,Medical Office,Health Centers,1,38,78.5,78.9,246.6,247.8,12.5,157.8,365159,N/A,N/A,N/A
20th Street Annex Library,311 N. 20th Street,19103,1681,10000,1922,Library,Libraries,1,N/A,28.3,27,86.2,82.1,-63.4,35.0,79187,123.4,705.7,N/A
Blackwell West Regional Library,123 S. 52nd Street,19139,49,15083,1976,Library,Libraries,1,N/A,178.6,182.9,390.8,390.4,65.8,250.9,429930,12274.3,N/A,N/A
Bushrod Library,6310 Castor Avenue,19102,539,10093,1950,Library,Libraries,1,N/A,79.4,81.2,179.3,176.4,-23.9,76.6,135782,3382.1,N/A,N/A
Bustleton Library,10195 Bustleton Avenue,19116,210,9170,1965,Library,Libraries,1,N/A,135.5,136.5,292.3,290.3,24.1,114.4,192998,5839.0,N/A,N/A
Cecil B Moore Library,2320 Cecil B. Moore,19121,1206,8550,1962,Library,Libraries,1,N/A,181.3,184.3,399.7,393.3,69.6,145.2,250946,6939.0,N/A,N/A
Central Library,1901 Vine Street,19103,321,200680,1922,Library,Libraries,1,N/A,133,134.3,354.3,351.8,50.3,3119.4,5908530,3248.5,6202830.0,N/A
Chestnut Hill Library,8711 Germantown Avenue,19118,585,9711,1909,Library,Libraries,1,N/A,183.6,192,306.2,309.4,29.9,133.4,154449,12562.2,N/A,N/A
Coleman Northwest Regional Library,78 W. Chelten Avenue,19144,1138,19117,1978,Library,Libraries,1,N/A,272.4,286.2,553.1,569.8,134.6,456.1,716088,27632.6,N/A,N/A
David Cohen Ogontz Library,6017 Ogontz Avenue,19141,885,3880,1997,Library,Libraries,1,N/A,159.8,163.3,358.4,358.3,52,58.9,103694,2662.5,N/A,N/A
Donatucci Passyunk Library,1945 Shunk Street,19145,451,8911,1914,Library,Libraries,1,N/A,97.3,101,163.2,162.6,-30.7,65.1,76159,6075.5,N/A,N/A
Eastwick Library,2875 ISLAND RD,19142,176,6545,1980,Library,Libraries,1,N/A,88.6,86.4,278.4,271.4,18.1,73.5,170049,N/A,N/A,N/A
Falls of Schuykill Library,3501 Warden Drive,19129,1147,8360,1913,Library,Libraries,1,N/A,169.4,170.4,272.9,270,15.8,103.1,111429,10362.2,N/A,N/A
Fox Chase Library,8001 Jeanes Street,19111,536,9081,1968,Library,Libraries,1,N/A,135,139.1,269.7,270.3,14.4,106.0,162887,6702.6,N/A,N/A
Frankford Library,4634 Frankford Avenue,19124,7,11852,1906,Library,Libraries,1,N/A,75.7,77.9,156.2,156,-33.7,79.7,127407,4626.0,N/A,N/A
Fumo Family Library,2411 S BROAD ST,19148,386,4827,1999,Library,Libraries,1,N/A,149.6,149.6,469.6,469.6,99.2,91.4,211588,N/A,N/A,N/A
Greater Olney Library,5451 N. 5th Street,19120,1195,10420,1949,Library,Libraries,1,N/A,76.4,78.5,151.8,151,-35.6,68.5,104592,4389.6,N/A,N/A
Haddington Library,6500 W Girard Avenue,19151,381,10017,1915,Library,Libraries,1,N/A,115.2,120,235.2,240.4,-0.2,101.5,160605,6054.9,N/A,N/A
Haverford Library,5531 Haverford Avenue,19139,403,6872,1979,Library,Libraries,1,N/A,130.8,133.4,270.6,269.1,14.8,79.9,128404,4605.4,N/A,N/A
Holmesburg Library,7752 Frankford Avenue,19136,39,8087,1907,Library,Libraries,1,N/A,85.7,90.3,151.9,154.4,-35.5,54.4,70203,4533.5,N/A,N/A
Katharine Drexel Library,11939 Knights Road,19154,98,9421,1969,Library,Libraries,1,N/A,97.2,97.3,201.7,198.8,-14.4,81.7,131654,4667.1,N/A,N/A
Kensington Library,2301 Hope Street,19133,1136,5595,1956,Library,Libraries,1,N/A,190.6,200.7,336.7,344.7,42.9,83.5,107118,7011.0,N/A,N/A
Lawncrest Library,6030 Rising Sun Avenue,19111,1082,7241,1961,Library,Libraries,1,N/A,123.7,128.1,249.6,251.5,5.9,78.0,121555,4811.0,N/A,N/A
Lehigh Library,2700 N. 6th Street,19133,676,12614,1906,Library,Libraries,1,N/A,226.5,237.6,451.7,463.3,91.6,246.5,378230,15666.7,N/A,N/A
Logan Library,1345 Wagner Avenue,19141,911,9448,1918,Library,Libraries,1,N/A,162.7,168.4,308.5,308.3,30.9,127.4,182345,9149.2,N/A,N/A
Lovett Memorial Library,6945 Germantown Avenue,19119,669,8087,1924,Library,Libraries,1,N/A,122.9,128.4,223.6,227,-5.1,79.6,107191,6281.1,N/A,N/A
McPheson Square Library,300 F Street,19134,577,9815,1917,Library,Libraries,1,N/A,104.3,107.8,199.2,200,-15.5,85.3,123423,6024.1,N/A,N/A
Nicetown-Tioga Library,3720 N. Broad Street,19140,1162,9670,1961,Library,Libraries,1,N/A,76.1,78.2,163.1,163.7,-30.8,67.3,112821,3505.5,N/A,N/A
Nixon - Cobbs Creek Library,5800 Cobbs Creek Parkway,19143,241,8607,1950,Library,Libraries,1,N/A,139,146.6,224.3,230.4,-4.8,87.2,94520,8738.0,N/A,N/A
Northeast Regional Library & Health Center 10,2230 Cottman Street,19149,281,58009,1962,Library,Libraries,2,N/A,157.6,160.4,335.4,333.9,42.4,832.2,1382143,44276.0,N/A,N/A
Oak Lane Library,6622 N. 12th Street,19126,836,8071,1911,Library,Libraries,1,N/A,94,97.6,178.6,179.1,-24.2,63.0,90418,4502.6,N/A,N/A
Overbrook Park Library,7400 Woodbine Avenue,19151,180,10724,1972,Library,Libraries,1,N/A,121.7,127.2,224.6,227.6,-4.7,105.8,145661,8080.1,N/A,N/A
Paschalville Library,6948 W Woodland Avenue,19142,457,8984,1915,Library,Libraries,1,N/A,172.3,182.3,262.2,268.4,11.2,107.8,102373,11986.5,N/A,N/A
Queen Memorial Library,1201 S. 23rd Street,19146,477,2456,1995,Library,Libraries,1,N/A,157.1,161.9,361.1,362.2,53.3,37.4,67554,1552.3,N/A,N/A
Ramonita Derodrigue Library,600 W. Girard Avenue,19123,1120,9465,1968,Library,Libraries,1,N/A,111.2,114.4,225.6,225.3,-4.3,92.1,144498,5592.3,N/A,N/A
Richmond Library,2600 E. Indiana Avenue,19134,592,9672,1910,Library,Libraries,1,N/A,101.8,104.5,211.2,209.8,-10.4,87.7,141494,5016.6,N/A,N/A
Roxborough Library,6247 Ridge Avenue,19128,862,9215,1969,Library,Libraries,1,N/A,97.7,100,224.8,224.8,-4.6,87.4,157894,3618.6,N/A,N/A
Santore Library,701 Carpenter Street,19147,288,7950,1963,Library,Libraries,1,N/A,138.6,144.5,257,260.4,9,89.7,124346,6774.5,N/A,N/A
Tacony Library,6742 Torresdale Avenue,19135,353,9100,1906,Library,Libraries,1,N/A,101.7,107.1,167,170.7,-29.1,68.4,76730,6640.9,N/A,N/A
Torresdale Library,3079 Holme Avenue,19136,207,10464,1972,Library,Libraries,1,N/A,68.4,70.4,157.9,158,-33,69.7,126323,2847.6,N/A,N/A
Walnut Street West Library,3958 Walnut Street,19104,243,9697,1906,Library,Libraries,1,N/A,95.5,96.5,233.3,230.2,-1,94.6,180928,3084.0,N/A,N/A
Welsh Road Library,9233 Roosevelt Blvd,19114,554,10400,1968,Library,Libraries,1,N/A,115.9,119.9,236,237,0.2,105.8,166588,6373.6,N/A,N/A
West Oak Lane Library,2010 E Washington Lane,19138,723,9973,1957,Library,Libraries,1,N/A,94.2,95.9,227.7,226.6,-3.4,95.0,180127,3248.5,N/A,N/A
Whitman Library,200 Snyder Avenue,19148,956,6673,1977,Library,Libraries,1,N/A,171.6,178.5,314.5,319.5,33.4,92.3,125686,7165.2,N/A,N/A
Widener Library,2808-2825 W Lehigh Ave,19132,610,7500,2005,Library,Libraries,1,N/A,115.6,120.4,269.8,274.9,14.5,85.2,156133,3341.0,N/A,N/A
Wynnefield Library,5399 Overbrook Avenue,19131,517,13856,1964,Library,Libraries,1,N/A,94.2,99.2,162.9,166.1,-30.9,100.5,124177,8820.2,N/A,N/A
Wyoming Library,245 E. Wyoming Avenue,19120,1059,9263,1930,Library,Libraries,1,N/A,112.2,115.8,196.3,193.9,-16.7,80.7,101942,6918.4,N/A,N/A
19th Street Annex Library,20th Street and Wood Street,19103,322,10000,1922,Non-Refrigerated Warehouse,Maintenance Facilities and Warehouses,1,26,49.9,52.7,84.2,87.1,42.2,37.6,44516,3474.6,N/A,N/A
Bartram Transfer Station / Garage 290,5014 Grays Avenue,19143,255,160963,1959,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,181.7,181.8,195.2,195.3,94.5,2217.0,257278,N/A,N/A,28376303.5
Fairmount Park Maintenance / Garage 282 / Car Barn,4100 Montgomery Dr,19131,1023,36804,1950,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,0,N/A,174.6,183.9,244.7,254.7,143.9,453.0,325059,38786.4,N/A,1436741.5
Garage 134,Front and Hunting Park,19125,904,59962,1968,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,182.7,193.5,334.4,345.8,233.4,882.4,1199514,68598.4,N/A,N/A
Garage 159,4040 Whitaker,19124,685,20070,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,389.5,413.9,587.2,614.4,484.8,540.9,501643,61063.2,N/A,N/A
Garage 258 / Police Traffic,2625-45 MASTER STREET,19121,1719,59962,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,87.8,92.5,145.7,149.7,45.1,392.3,449630,37306.1,N/A,N/A
Garage 357 / Sanition Yard 2,3033 South 63rd Street,19148,213,20070,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,337.9,357.1,597.6,624,494.9,531.4,683357,44491.8,N/A,N/A
Garage 423,1117 Reed Street,19147,27,41176,1970,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,152.6,163.9,211.6,222.4,110.8,408.0,296404,52736.4,N/A,N/A
Krewstown Stable,9000 Krewstown Road,19115,651,41330,1969,Other - Public Services,Maintenance Facilities and Warehouses,0,N/A,8.6,8.7,27,27.4,-78.1,45.0,104199,N/A,N/A,N/A
Northcentral Service / Garage 241,2600 Glenwood Avenue,19132,818,32682,1954,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,107,107.1,171.5,171.6,70.9,310.6,285029,N/A,N/A,2525871.9
Northwest Transfer Station and Fleet Shop 225,5201 Umbria St And Domino Lane,19128,1143,37841,1959,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,2,N/A,215.4,227.7,376.5,390.7,275.3,753.1,827522,N/A,N/A,5328915.5
Police Tow Squad,4290-98 Macalester St At Whitaker,19124,788,21970,1960,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,113.2,112.7,199,197.4,98.2,230.3,255986,N/A,N/A,1613500.3
Traffic Engineering Shop,4501 G ST,22031,929,22398,1960,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Maintenance Facilities and Warehouses,1,N/A,154.3,157.9,275,277,174.1,286.8,355159,22431.0,N/A,N/A
Undisclosed Facility,N/A,N/A,N/A,N/A,N/A,N/A,Maintenance Facilities and Warehouses,1,50,22.2,22.2,69.6,69.6,0,148.9,344517,N/A,N/A,0.0
Afro-American Historical Cultural Museum,7th &amp; Arch Streets,19106,391,32100,1750,Museum,Museums,1,N/A,114.2,116.4,263.9,261,210.3,404.4,614285,N/A,1570110.0,N/A
Atwater Kent Museum,13-17 S 7th St,19106,979,14801,1938,Museum,Museums,1,N/A,218.6,218.6,478.5,478.5,462,349.2,482546,N/A,1589213.9,N/A
Firefighter's Hall,4th &amp; Arch Streets,19106,347,9436,1968,Museum,Museums,1,N/A,280.3,285.6,624.4,624.4,633.8,250.0,436824,11544.4,N/A,N/A
Lemon Hill Mansion,Sedgley Drive,19130,998,2855,1800,Museum,Museums,1,N/A,276.8,293,442.3,459.4,419.3,57.1,60742,5828.8,N/A,N/A
Mann Music Center,5201 Parkside Avenue,19131,1017,48557,1976,Performing Arts,Museums,1,N/A,53.6,52.9,168.4,166.2,97.8,329.8,763194,N/A,N/A,N/A
Philadelphia Museum of Art and Perelman Building,2600 Ben Franklin Parkway,19130,1933,804000,1929,Museum,Museums,2,N/A,176.8,178.5,355,357,317,14810.6,17324500,8604.4,82215264.4,N/A
Rodin Museum,2151 Ben Franklin Parkway,19130,987,6199,1929,Museum,Museums,1,N/A,290.2,301.5,598.1,604.9,602.7,159.5,255115,9282.8,N/A,N/A
